Cluster,Mass,logP,TPSA,HBD,HBA,RotBonds
0,247.0921514123678,2.9460443854800076,40.03093237516123,0.7998894416804865,2.5010134512622075,2.7033351759719917
1,632.0653468225879,2.9075326863572433,159.79258790436006,3.5682137834036567,9.113924050632912,16.980309423347396
2,607.4200732104122,0.5899782075198844,225.38550253073026,6.848156182212581,12.354302241503976,6.8944323933477945
3,444.9211541434861,3.5571657126469747,93.30581015199311,2.080298250645254,5.604817895038715,6.28419845139088
4,272.1340770804752,0.018105972564812493,101.28595519758369,2.601057135665744,5.134658947898314,3.32242637805185
