PublicationID	PublicationYear
40295851	2025
40320073	2025
40854140	2025
40430562	2025
41286502	2025
38613462	2024
39727836	2024
39290379	2024
40443897	2025
39817557	2025
40969763	2025
39979532	2025
40632611	2025
39350296	2024
40763985	2025
PPR1059713	2025
40015172	2025
41440262	2025
40998404	2025
39185427	2024
41419739	2025
38514083	2024
38404916	2024
40969347	2025
39503991	2025
40895120	2025
38825159	2024
39861871	2025
39113108	2024
37866631	2023
40933957	2025
41001620	2025
40187756	2025
39930652	2025
40176919	2025
39565846	2024
41053501	2025
38150000	2023
40942107	2025
40278258	2025
40651610	2025
39478017	2024
39201259	2024
41091075	2025
41446793	2025
40119113	2025
39997020	2025
PMC12122515	2025
38088807	2023
39279715	2024
41166417	2025
39710370	2025
37964742	2024
39466712	2024
40425285	2025
19125648	2009
40147940	2025
39873511	2025
38374082	2024
40846852	2025
39518985	2024
39871396	2025
40087816	2025
41424175	2026
41414904	2026
38284532	2024
38555283	2024
40362629	2025
38890291	2024
40539604	2025
39877816	2025
39358820	2024
40081987	2025
37909466	2024
39011388	2024
41373622	2025
41173966	2025
39446054	2024
39153375	2024
40994455	2025
40522120	2025
41355862	2025
41155609	2025
41016932	2025
39947467	2025
40948327	2025
41079603	2025
39933575	2025
39247689	2024
39293742	2024
40411535	2025
40006089	2025
39599850	2024
41047897	2025
41445744	2025
41439867	2025
40960081	2025
38957136	2024
PMC12141960	2025
38923711	2024
40787336	2025
40025218	2025
40048090	2025
39309228	2024
PPR856786	2024
38793226	2024
40903541	2026
40530698	2025
39174623	2024
38061436	2024
41155590	2025
41002390	2025
41423265	2025
PMC10671554	2023
41294729	2025
40649822	2025
38539879	2024
39443289	2025
39550406	2024
38031646	2023
39148630	2024
40356982	2025
PPR857846	2024
39744403	2024
40448417	2025
41024505	2025
40880664	2025
40199885	2025
37744819	2023
40519184	2025
41289995	2025
40812425	2025
40588511	2025
41194875	2025
41439264	2025
40944659	2025
41217683	2025
40657901	2025
41117088	2026
41154594	2025
41049733	2025
38956880	2024
40685746	2025
38392018	2024
38628783	2024
38572568	2024
40724827	2025
40303066	2024
38304547	2024
39861905	2025
40102466	2025
41459750	2025
40598817	2025
40161957	2025
37719081	2023
41272841	2025
PPR813086	2024
36290926	2022
39894818	2025
40841960	2025
40148356	2025
PMC12349586	2025
40299727	2025
40399393	2025
39559755	2024
40740486	2025
39957177	2025
40593574	2025
39179764	2024
38645339	2024
41305209	2025
40285002	2025
40756692	2025
PMC12124639	2025
PPR1085933	2025
41062925	2025
40099854	2025
38995166	2024
39810596	2025
38435515	2024
40332717	2025
40397015	2025
38491245	2025
40301361	2025
41428735	2025
40045452	2025
41291570	2025
40570962	2025
38921828	2024
40077556	2025
40845127	2025
39022364	2024
PMC12781175	2026
40346589	2025
41326524	2025
40095124	2025
38565383	2024
38482069	2024
38574067	2024
38657864	2024
41465366	2025
